74개 기초자치단체 / 인구 10만 명당 진단 수 / 201101~202006 월단위,,,,,,,,
,,,,,,,,
,,,,,,,,
연월,시군구코드,시도,시군구,"폐암
(C34)","만성폐쇄성폐질환
(J44)","하기도감염
(J20-22)","허혈성심질환
(I20-22)","뇌졸중
(I60-64)"
201104,29155,광주광역시,남구,77.2,447.9,13243.2,701.7,554.2
201104,29170,광주광역시,북구,90,311.1,16753.6,749.9,522.2
201104,29200,광주광역시,광산구,92.7,290,20244,469.2,567.2
201104,30110,대전광역시,동구,87.5,211.7,22397.3,507.4,619.2
201104,30140,대전광역시,중구,100.2,224.5,19717.4,523.9,568.7
201104,30170,대전광역시,서구,95.8,215.4,20645.8,454,570.2
201104,30200,대전광역시,유성구,79.5,205.9,24119.7,464.1,546.6
201104,30230,대전광역시,대덕구,70.1,221.1,24612,452.9,524.5
201104,31110,울산광역시,중구,107,219.7,14215.5,542.5,683
201104,31140,울산광역시,남구,91.1,217.8,15493.6,496.9,641.6
201104,31170,울산광역시,동구,112.1,252.1,17415.1,414.1,673.7
201104,31200,울산광역시,북구,106.8,323.3,22843.9,500.3,701.4
201104,31710,울산광역시,울주군,87.9,226.7,16892.7,559.4,690.3
201105,11110,서울특별시,종로구,137.8,217.4,13243.7,639.6,773.8
201105,11140,서울특별시,중구,136.6,238,14289.8,662.2,773.3
201105,11170,서울특별시,용산구,131.8,170.4,14464.4,628.8,654.4
201105,11200,서울특별시,성동구,115.1,242.1,16049,628.2,626.2
201105,11215,서울특별시,광진구,117,184.2,17813.3,526.7,558.7
201105,11230,서울특별시,동대문구,112.5,208.5,16049,734.1,683.2
201105,11260,서울특별시,중랑구,122.3,171.1,15637.5,549.7,636.5
201105,11290,서울특별시,성북구,150.5,198.3,18546.5,637.1,645.8
201105,11305,서울특별시,강북구,120.3,240.5,15380.8,601.4,751.8
201105,11320,서울특별시,도봉구,114.1,195.9,16686.7,587.6,685.5
201105,11350,서울특별시,노원구,134.5,192.2,17696.8,520.3,684.8
201105,11380,서울특별시,은평구,127,186.4,18603.7,577.4,663.2
201105,11410,서울특별시,서대문구,136.3,194.1,13479,668.6,786.7
201105,11440,서울특별시,마포구,134.5,233.4,18571.8,632.1,643.1
201105,11470,서울특별시,양천구,119.1,216.5,14498.1,596.1,607.3
201105,11500,서울특별시,강서구,140.4,163.6,18360.1,564.1,626.8
201105,11530,서울특별시,구로구,118.6,284.2,19581.1,572.9,638.2
201105,11545,서울특별시,금천구,126.1,172.9,16312.2,531.1,682.3
201105,11560,서울특별시,영등포구,148.2,261.9,16096.9,764.1,809.7
201105,11590,서울특별시,동작구,155.2,198.3,15539.1,596.6,676.4
