sido_code,sigungu_code,sido,yyyymm,pm10,sigungu,precipitation,male_avg_age,female_avg_age,year,month,ISO,disease_type,value
27,27140,대구,201103,53.0,동구,16.5,38.4,41.5,2011,3,KR-27,폐암,108.1
27,27170,대구,201103,63.0,서구,16.5,39.0,42.1,2011,3,KR-27,폐암,80.0
27,27200,대구,201103,41.0,남구,16.5,40.0,43.2,2011,3,KR-27,폐암,72.7
27,27230,대구,201103,62.5,북구,16.5,35.5,37.8,2011,3,KR-27,폐암,94.0
27,27260,대구,201103,59.5,수성구,16.5,35.9,39.1,2011,3,KR-27,폐암,96.9
27,27290,대구,201103,57.0,달서구,16.5,35.3,37.8,2011,3,KR-27,폐암,88.0
27,27710,대구,201103,50.0,달성군,16.5,36.0,38.5,2011,3,KR-27,폐암,89.8
28,28110,인천,201103,69.0,중구,14.5,38.7,40.9,2011,3,KR-28,폐암,127.2
28,28140,인천,201103,59.0,동구,14.5,38.8,41.3,2011,3,KR-28,폐암,96.6
28,28170,인천,201103,63.0,남구,14.5,37.8,39.9,2011,3,KR-28,폐암,80.4
28,28185,인천,201103,78.0,연수구,14.5,35.0,36.7,2011,3,KR-28,폐암,98.6
28,28200,인천,201103,75.0,남동구,14.5,35.6,37.3,2011,3,KR-28,폐암,92.8
28,28237,인천,201103,71.0,부평구,14.5,36.2,38.0,2011,3,KR-28,폐암,100.5
28,28245,인천,201103,68.0,계양구,14.5,34.9,36.3,2011,3,KR-28,폐암,84.8
28,28260,인천,201103,73.33333333,서구,14.5,34.7,36.0,2011,3,KR-28,폐암,93.3
28,28710,인천,201103,65.0,강화군,14.5,45.1,48.8,2011,3,KR-28,폐암,136.3
29,29110,광주,201103,56.0,동구,23.1,40.3,43.0,2011,3,KR-29,폐암,126.8
29,29140,광주,201103,45.0,서구,23.1,34.7,37.1,2011,3,KR-29,폐암,108.5
29,29155,광주,201103,52.0,남구,23.1,36.8,39.4,2011,3,KR-29,폐암,78.1
29,29170,광주,201103,56.0,북구,23.1,35.2,37.6,2011,3,KR-29,폐암,99.4
29,29200,광주,201103,70.0,광산구,23.1,32.2,34.0,2011,3,KR-29,폐암,94.5
30,30110,대전,201103,49.0,동구,19.0,37.6,40.1,2011,3,KR-30,폐암,89.9
30,30140,대전,201103,57.0,중구,19.0,37.6,39.8,2011,3,KR-30,폐암,97.2
30,30170,대전,201103,59.0,서구,19.0,34.8,36.7,2011,3,KR-30,폐암,109.6
30,30200,대전,201103,61.0,유성구,19.0,33.1,34.8,2011,3,KR-30,폐암,100.9
30,30230,대전,201103,65.0,대덕구,19.0,35.7,37.7,2011,3,KR-30,폐암,99.3
31,31110,울산,201103,62.0,중구,18.5,36.4,38.6,2011,3,KR-31,폐암,113.1
31,31140,울산,201103,61.66666667,남구,18.5,35.1,36.8,2011,3,KR-31,폐암,111.5
31,31170,울산,201103,55.0,동구,18.5,35.1,36.8,2011,3,KR-31,폐암,105.1
31,31200,울산,201103,76.0,북구,18.5,32.8,34.2,2011,3,KR-31,폐암,106.8
31,31710,울산,201103,61.33333333,울주군,18.5,36.0,38.5,2011,3,KR-31,폐암,102.6
11,11110,서울,201104,58.0,종로구,110.1,39.6,41.7,2011,4,KR-11,폐암,99.8
11,11140,서울,201104,54.0,중구,110.1,40.1,42.0,2011,4,KR-11,폐암,104.4
11,11170,서울,201104,58.0,용산구,110.1,39.1,41.2,2011,4,KR-11,폐암,103.9
11,11200,서울,201104,61.0,성동구,110.1,38.0,39.6,2011,4,KR-11,폐암,81.5
11,11215,서울,201104,56.0,광진구,110.1,37.1,38.4,2011,4,KR-11,폐암,92.5
11,11230,서울,201104,58.0,동대문구,110.1,38.8,40.6,2011,4,KR-11,폐암,84.3
11,11260,서울,201104,60.0,중랑구,110.1,38.2,39.8,2011,4,KR-11,폐암,87.6
11,11290,서울,201104,49.0,성북구,110.1,37.8,39.7,2011,4,KR-11,폐암,107.4
11,11305,서울,201104,51.0,강북구,110.1,39.0,41.1,2011,4,KR-11,폐암,95.3
11,11320,서울,201104,52.0,도봉구,110.1,38.0,39.8,2011,4,KR-11,폐암,92.2
11,11350,서울,201104,47.0,노원구,110.1,36.4,38.8,2011,4,KR-11,폐암,90.2
11,11380,서울,201104,56.0,은평구,110.1,38.1,40.0,2011,4,KR-11,폐암,108.6
11,11410,서울,201104,56.0,서대문구,110.1,38.5,40.6,2011,4,KR-11,폐암,118.5
11,11440,서울,201104,58.0,마포구,110.1,37.4,39.2,2011,4,KR-11,폐암,97.6
11,11470,서울,201104,52.0,양천구,110.1,36.2,38.0,2011,4,KR-11,폐암,92.4
11,11500,서울,201104,57.0,강서구,110.1,36.9,38.9,2011,4,KR-11,폐암,108.1
11,11530,서울,201104,57.0,구로구,110.1,37.5,39.0,2011,4,KR-11,폐암,82.6
11,11545,서울,201104,50.0,금천구,110.1,38.2,39.8,2011,4,KR-11,폐암,96.1
11,11560,서울,201104,59.0,영등포구,110.1,38.3,39.8,2011,4,KR-11,폐암,117.5
11,11590,서울,201104,56.0,동작구,110.1,37.7,39.7,2011,4,KR-11,폐암,132.5
11,11620,서울,201104,59.0,관악구,110.1,37.5,39.2,2011,4,KR-11,폐암,107.3
11,11650,서울,201104,59.0,서초구,110.1,36.9,38.3,2011,4,KR-11,폐암,123.2
11,11680,서울,201104,60.0,강남구,110.1,36.5,38.2,2011,4,KR-11,폐암,102.9
11,11710,서울,201104,57.0,송파구,110.1,36.5,38.0,2011,4,KR-11,폐암,103.8
11,11740,서울,201104,55.0,강동구,110.1,36.8,38.8,2011,4,KR-11,폐암,98.0
26,26110,부산,201104,53.0,중구,100.0,42.5,45.4,2011,4,KR-26,폐암,84.2
26,26140,부산,201104,64.5,서구,100.0,41.5,44.7,2011,4,KR-26,폐암,131.8
26,26170,부산,201104,61.5,동구,100.0,41.9,45.3,2011,4,KR-26,폐암,103.6
26,26200,부산,201104,58.0,영도구,100.0,41.2,44.3,2011,4,KR-26,폐암,137.6
26,26230,부산,201104,67.0,부산진구,100.0,39.2,41.6,2011,4,KR-26,폐암,98.7
26,26260,부산,201104,59.0,동래구,100.0,38.5,40.9,2011,4,KR-26,폐암,118.4
26,26290,부산,201104,58.0,남구,100.0,38.8,41.2,2011,4,KR-26,폐암,101.3
26,26320,부산,201104,61.0,북구,100.0,37.1,39.4,2011,4,KR-26,폐암,78.9
26,26350,부산,201104,41.0,해운대구,100.0,37.2,39.6,2011,4,KR-26,폐암,94.2
26,26380,부산,201104,65.0,사하구,100.0,37.7,39.8,2011,4,KR-26,폐암,90.0
26,26410,부산,201104,60.5,금정구,100.0,39.1,41.7,2011,4,KR-26,폐암,87.9
26,26440,부산,201104,60.0,강서구,100.0,40.5,43.3,2011,4,KR-26,폐암,72.6
26,26470,부산,201104,52.0,연제구,100.0,38.8,41.2,2011,4,KR-26,폐암,103.6
26,26500,부산,201104,42.0,수영구,100.0,40.0,42.5,2011,4,KR-26,폐암,124.5
26,26530,부산,201104,68.0,사상구,100.0,37.7,39.8,2011,4,KR-26,폐암,96.7
26,26710,부산,201104,47.5,기장군,100.0,37.9,40.9,2011,4,KR-26,폐암,113.8
27,27110,대구,201104,50.0,중구,104.5,41.1,44.6,2011,4,KR-27,폐암,139.7
27,27140,대구,201104,44.0,동구,104.5,38.4,41.5,2011,4,KR-27,폐암,118.4
27,27170,대구,201104,61.0,서구,104.5,39.0,42.1,2011,4,KR-27,폐암,91.2
27,27200,대구,201104,36.0,남구,104.5,40.0,43.2,2011,4,KR-27,폐암,101.1
27,27230,대구,201104,55.5,북구,104.5,35.5,37.9,2011,4,KR-27,폐암,92.5
27,27260,대구,201104,52.0,수성구,104.5,36.0,39.1,2011,4,KR-27,폐암,92.0
27,27290,대구,201104,52.0,달서구,104.5,35.3,37.8,2011,4,KR-27,폐암,79.1
27,27710,대구,201104,45.0,달성군,104.5,36.1,38.5,2011,4,KR-27,폐암,91.5
28,28110,인천,201104,63.0,중구,127.6,38.7,40.9,2011,4,KR-28,폐암,103.7
28,28140,인천,201104,50.0,동구,127.6,38.8,41.3,2011,4,KR-28,폐암,76.2
28,28170,인천,201104,60.0,남구,127.6,37.8,39.9,2011,4,KR-28,폐암,81.6
28,28185,인천,201104,68.0,연수구,127.6,35.0,36.7,2011,4,KR-28,폐암,84.1
28,28200,인천,201104,63.33333333,남동구,127.6,35.6,37.3,2011,4,KR-28,폐암,86.8
28,28237,인천,201104,64.0,부평구,127.6,36.2,38.0,2011,4,KR-28,폐암,83.3
28,28245,인천,201104,59.0,계양구,127.6,34.9,36.3,2011,4,KR-28,폐암,74.1
28,28260,인천,201104,67.33333333,서구,127.6,34.7,36.0,2011,4,KR-28,폐암,69.7
28,28710,인천,201104,56.0,강화군,127.6,45.2,48.8,2011,4,KR-28,폐암,161.7
29,29110,광주,201104,56.0,동구,103.0,40.4,43.1,2011,4,KR-29,폐암,115.5
